id,user_id,workout_id,exercise_id,weight,reps,set_number,created_at
1817,1,399,1,120,5,1,2025-07-07 22:58:42+10
1818,1,400,1,142,5,1,2025-07-07 22:58:42+10
1819,1,401,1,150,2,1,2025-07-07 22:58:42+10
1820,1,402,1,120,5,1,2025-07-07 22:58:42+10
1821,1,403,1,142,5,1,2025-07-07 22:58:42+10
1822,1,403,1,120,3,1,2025-07-07 22:58:42+10
1823,1,404,1,120,3,1,2025-07-07 22:58:42+10
1824,1,404,1,140,1,1,2025-07-07 22:58:42+10
1825,1,404,1,150,2,1,2025-07-07 22:58:42+10
1826,1,405,1,120,3,1,2025-07-07 22:58:42+10
1827,1,405,1,130,3,1,2025-07-07 22:58:42+10
1828,1,405,1,130,5,1,2025-07-07 22:58:42+10
1829,1,406,1,100,5,1,2025-07-07 22:58:42+10
1830,1,406,1,120,5,1,2025-07-07 22:58:42+10
1831,1,406,1,130,5,1,2025-07-07 22:58:42+10
1832,1,407,1,132.5,5,1,2025-07-07 22:58:42+10
1833,1,408,1,120,3,1,2025-07-07 22:58:42+10
1834,1,408,1,140,3,1,2025-07-07 22:58:42+10
1835,1,408,1,120,5,1,2025-07-07 22:58:42+10
1836,1,409,1,120,1,1,2025-07-07 22:58:42+10
1837,1,409,1,100,10,1,2025-07-07 22:58:42+10
1838,1,410,1,120,3,1,2025-07-07 22:58:42+10
1839,1,410,1,140,2,1,2025-07-07 22:58:42+10
1840,1,410,1,150,2,1,2025-07-07 22:58:42+10
1841,1,410,1,125,5,1,2025-07-07 22:58:42+10
1842,1,411,1,135,5,1,2025-07-07 22:58:42+10
1843,1,411,1,120,4,1,2025-07-07 22:58:42+10
1844,1,411,1,120,2,1,2025-07-07 22:58:42+10
1845,1,412,1,145,3,1,2025-07-07 22:58:42+10
1846,1,413,1,150,2,1,2025-07-07 22:58:42+10
